sessionId,source,label,clickRatePerMin,repeatedClickCount,scrollCount,scrollDirectionChanges,avgPointerSpeed,keyPressCount,navigationCount,avgHesitationMs,maxHesitationMs,durationSec
"synthetic-high-0263","synthetic","high","57.76","4","32","7","665.44","82","3","5111.97","8188.16","215.39"
"synthetic-low-0117","synthetic","low","6","1","4","0","658.29","13","1","271.17","2410.08","26.92"
"synthetic-low-0229","synthetic","low","5.24","1","1","1","439.27","18","1","551.97","2159.01","42.38"
"synthetic-medium-0115","synthetic","medium","33.98","3","6","4","535.6","61","2","1213","5354.47","115.07"
"synthetic-low-0048","synthetic","low","11.55","1","1","1","632.17","30","1","464.82","1287.66","39.72"
"synthetic-low-0198","synthetic","low","15.2","1","2","1","360.34","31","0","280.44","1336.75","38.05"
"synthetic-medium-0043","synthetic","medium","31.17","4","7","2","384.81","52","3","1669.02","3055.8","83.78"
"synthetic-low-0045","synthetic","low","8.79","0","1","0","629.68","8","1","453.23","1174.46","41.18"
"synthetic-medium-0039","synthetic","medium","26.71","3","11","3","360.42","58","3","2065.03","5263.68","76.67"
"synthetic-low-0046","synthetic","low","11.89","1","1","1","516.51","16","1","786.41","920.46","57.03"
"synthetic-low-0116","synthetic","low","6.54","0","1","2","540.58","11","1","629.33","2494.3","65.51"
"synthetic-medium-0023","synthetic","medium","16.19","2","7","2","378.47","56","1","1812.3","4640.5","136.36"
"synthetic-low-0266","synthetic","low","12.98","1","7","0","647.9","15","1","496.6","2376.78","42.58"
"synthetic-medium-0216","synthetic","medium","16.75","1","6","4","332.73","63","1","1115.69","2885.75","148.55"
"synthetic-low-0020","synthetic","low","6.49","0","6","0","450.21","35","0","520.93","1611.23","37.11"
"synthetic-low-0285","synthetic","low","10.39","1","4","0","377.37","28","0","852.96","1445.08","36.2"
"synthetic-high-0034","synthetic","high","59.31","14","25","18","108.48","44","10","5044.4","12136.19","260.64"
"synthetic-high-0078","synthetic","high","44.43","4","30","19","444.73","52","5","3032.51","10016.94","327.12"
"synthetic-medium-0192","synthetic","medium","21.54","1","14","7","277.65","55","3","1684.67","5597.5","104.16"
"synthetic-medium-0224","synthetic","medium","16.14","1","10","3","268.12","48","4","1470.28","5970.92","94.29"
"synthetic-high-0059","synthetic","high","51.55","11","31","8","557.72","41","3","6437.24","7103.44","261.78"
"synthetic-high-0068","synthetic","high","37.41","11","22","14","469.67","76","8","6901.59","15532.1","152.78"
"synthetic-low-0049","synthetic","low","10.2","1","7","1","415.86","34","0","366.3","1101.41","57.09"
"synthetic-low-0011","synthetic","low","13.4","1","7","2","596.73","20","0","781.49","1842.18","40.83"
"synthetic-high-0040","synthetic","high","35.84","9","44","8","209.91","116","9","6271.08","13561.03","238.17"
"synthetic-high-0079","synthetic","high","44.95","13","39","8","580.08","84","9","6469.15","8048.87","212.32"
"synthetic-low-0090","synthetic","low","6.7","0","2","2","642.04","7","0","306.21","2269.03","30.67"
"synthetic-medium-0074","synthetic","medium","29.78","4","8","5","258.03","46","3","2025.65","6429.61","92.92"
"synthetic-low-0133","synthetic","low","11.27","0","3","0","746.7","21","0","504.84","2468.14","39.13"
"synthetic-low-0096","synthetic","low","11.14","1","7","2","704.12","26","0","331.63","1363.21","72.44"
"synthetic-high-0031","synthetic","high","48.65","4","21","11","686.8","63","10","4551.59","10549.93","254.69"
